Date,Price,Date,Open,High,Low,Close price,Vol.,Change %,,Volatility,Daily volatility,,,,,,,,,,,,,,,,,
"Jul 16, 2021"," ₹ 4,327.16 ","Jul 16, 2021"," ₹ 4,367.43 "," ₹ 4,375.09 "," ₹ 4,322.53 "," ₹ 4,327.16 ",-,-0.75%,1%,52.56,1.20%,,,,,,,,,,,,,,,,,
"Jul 15, 2021"," ₹ 4,360.03 ","Jul 15, 2021"," ₹ 4,369.02 "," ₹ 4,369.02 "," ₹ 4,340.70 "," ₹ 4,360.03 ",-,-0.33%,0%,28.32,0.60%,,,,,,,,,,,,,,,,,
"Jul 14, 2021"," ₹ 4,374.30 ","Jul 14, 2021"," ₹ 4,380.11 "," ₹ 4,393.68 "," ₹ 4,362.36 "," ₹ 4,374.30 ",-,0.12%,0%,31.32,0.70%,,,,,,,,,,,,,,,,,
"Jul 13, 2021"," ₹ 4,369.21 ","Jul 13, 2021"," ₹ 4,381.07 "," ₹ 4,392.37 "," ₹ 4,366.92 "," ₹ 4,369.21 ",-,-0.35%,0%,25.45,0.60%,,,,,,,,,,,,,,,,,
"Jul 12, 2021"," ₹ 4,384.63 ","Jul 12, 2021"," ₹ 4,372.41 "," ₹ 4,386.68 "," ₹ 4,364.03 "," ₹ 4,384.63 ",-,0.35%,0%,22.65,0.50%,,,,,,,,,,,,,,,,,
"Jul 09, 2021"," ₹ 4,369.55 ","Jul 09, 2021"," ₹ 4,329.38 "," ₹ 4,371.60 "," ₹ 4,329.38 "," ₹ 4,369.55 ",-,1.13%,1%,42.22,1.00%,,,,,ANALYSIS OF STOCKS FOR S&P 500 FOR AUGUST 2019-JULY2021,,,,,,,,,,,,
"Jul 08, 2021"," ₹ 4,320.82 ","Jul 08, 2021"," ₹ 4,321.07 "," ₹ 4,330.88 "," ₹ 4,289.37 "," ₹ 4,320.82 ",-,-0.86%,1%,41.51,1.00%,,,,,,,,,,,,,,,,,
"Jul 07, 2021"," ₹ 4,358.13 ","Jul 07, 2021"," ₹ 4,351.01 "," ₹ 4,361.88 "," ₹ 4,329.79 "," ₹ 4,358.13 ",-,0.34%,0%,32.09,0.70%,,,,,Highest vs Lowest price,,Highest vs Lowest price movement (in%),,,,Price range prediction,,,,Other data,,
"Jul 06, 2021"," ₹ 4,343.54 ","Jul 06, 2021"," ₹ 4,356.46 "," ₹ 4,356.46 "," ₹ 4,314.37 "," ₹ 4,343.54 ",-,-0.20%,0%,42.09,1.00%,,,,,Highest price,Lowest price,Highest movement,,Lowest movement,,Highest price,,Lowest movement,,Standard deviation,,Daily average volatility
"Jul 02, 2021"," ₹ 4,352.34 ","Jul 02, 2021"," ₹ 4,326.60 "," ₹ 4,355.43 "," ₹ 4,326.60 "," ₹ 4,352.34 ",-,0.75%,1%,28.83,0.70%,,,,," ₹ 4,393.68 "," ₹ 2,191.86 ",11.98%,,0.00%,," ₹ 5,342.66 ",," ₹ 1,242.88 ",,₹ 474.49,,1.31%
